month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,128626.12,107689.03,236315.14,69649.56,64206.09,83476.39,217332.04,18718.64
FEBRUARY,114046.46,85634.77,199681.23,66191.65,58473.65,58985.16,183650.46,15852.83
MARCH,127608.05,103669.5,231277.56,68896.17,64303.75,81524.33,214724.25,16377.65
APRIL,127052.86,105931.46,232984.33,67996.12,70442.91,77036.65,215475.68,17295.39
MAY,133178.04,111264.13,244442.16,73417.8,72966.26,80337.02,226721.09,17465.45
JUNE,128505.87,110449.99,238955.86,73513.99,69443.16,78540.78,221497.93,17252.74
JULY,138817.29,112063.25,250880.54,71383.68,70620.9,90337.36,232341.94,18328.22
AUGUST,130583.96,96431.26,227015.22,72899.51,71378.32,65732.24,210010.07,16729.35
SEPTEMBER,124101.78,74218.48,198320.26,70185.57,64560.55,45434.99,180181.11,17952.52
OCTOBER,107130.45,113923.76,221054.21,53590.78,61893.38,88735.33,204219.49,16699.77
NOVEMBER,101193.82,111328.55,212522.37,49735.25,56240.13,90689.96,196665.34,15846.89
DECEMBER,95165.21,117399.73,212564.95,39110.56,56085.69,101913.03,197109.28,15445.19
