month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,7201300.0
FEBRUARY,BONNY,Crude Oil,7360640.0
MARCH,BONNY,Crude Oil,7998000.0
APRIL,BONNY,Crude Oil,8360400.0
MAY,BONNY,Crude Oil,8588240.0
JUNE,BONNY,Crude Oil,9057900.0
JANUARY,BONNY,Condensate,389670.0
FEBRUARY,BONNY,Condensate,369040.0
MARCH,BONNY,Condensate,427180.0
APRIL,BONNY,Condensate,492900.0
MAY,BONNY,Condensate,521730.0
JUNE,BONNY,Condensate,490200.0
JANUARY,BRASS,Crude Oil,941160.0
FEBRUARY,BRASS,Crude Oil,963480.0
MARCH,BRASS,Crude Oil,1087790.0
APRIL,BRASS,Crude Oil,989700.0
MAY,BRASS,Crude Oil,1046870.0
JUNE,BRASS,Crude Oil,995400.0
JANUARY,BRASS,Condensate,294810.0
FEBRUARY,BRASS,Condensate,281120.0
MARCH,BRASS,Condensate,290470.0
APRIL,BRASS,Condensate,255600.0
MAY,BRASS,Condensate,302870.0
JUNE,BRASS,Condensate,260100.0
JANUARY,QUA IBOE,Crude Oil,4549870.0
FEBRUARY,QUA IBOE,Crude Oil,4401040.0
MARCH,QUA IBOE,Crude Oil,5196840.0
APRIL,QUA IBOE,Crude Oil,4918200.0
MAY,QUA IBOE,Crude Oil,5371370.0
JUNE,QUA IBOE,Crude Oil,4892100.0
JANUARY,QUA IBOE,Condensate,57040.0
FEBRUARY,QUA IBOE,Condensate,43680.0
MARCH,QUA IBOE,Condensate,49600.0
APRIL,QUA IBOE,Condensate,46800.0
MAY,QUA IBOE,Condensate,2790.0
JUNE,QUA IBOE,Condensate,49500.0
JANUARY,FORCADOS,Crude Oil,7946850.0
FEBRUARY,FORCADOS,Crude Oil,6234760.0
MARCH,FORCADOS,Crude Oil,4733080.0
APRIL,FORCADOS,Crude Oil,6654000.0
MAY,FORCADOS,Crude Oil,8265530.0
JUNE,FORCADOS,Crude Oil,8485800.0
JANUARY,FORCADOS,Condensate,795770.0
FEBRUARY,FORCADOS,Condensate,589960.0
MARCH,FORCADOS,Condensate,449810.0
APRIL,FORCADOS,Condensate,700200.0
MAY,FORCADOS,Condensate,721370.0
JUNE,FORCADOS,Condensate,705000.0
JANUARY,ESCRAVOS (Oil Terminal),Crude Oil,4227470.0
FEBRUARY,ESCRAVOS (Oil Terminal),Crude Oil,3745000.0
MARCH,ESCRAVOS (Oil Terminal),Crude Oil,4355500.0
APRIL,ESCRAVOS (Oil Terminal),Crude Oil,4070100.0
MAY,ESCRAVOS (Oil Terminal),Crude Oil,4128890.0
JUNE,ESCRAVOS (Oil Terminal),Crude Oil,4053600.0
JANUARY,ESCRAVOS (Oil Terminal),Condensate,70060.0
FEBRUARY,ESCRAVOS (Oil Terminal),Condensate,80920.0
MARCH,ESCRAVOS (Oil Terminal),Condensate,110360.0
APRIL,ESCRAVOS (Oil Terminal),Condensate,58500.0
