month,terminal,liquid_type,volume_bbls
MAY,ESCRAVOS (Oil Terminal),Condensate,70680.0
JUNE,ESCRAVOS (Oil Terminal),Condensate,87300.0
JANUARY,ODUDU (AMENAM BLEND),Crude Oil,1946800.0
FEBRUARY,ODUDU (AMENAM BLEND),Crude Oil,1862840.0
MARCH,ODUDU (AMENAM BLEND),Crude Oil,2034840.0
APRIL,ODUDU (AMENAM BLEND),Crude Oil,1854000.0
MAY,ODUDU (AMENAM BLEND),Crude Oil,1953310.0
JUNE,ODUDU (AMENAM BLEND),Crude Oil,1859400.0
APRIL,ODUDU (AMENAM BLEND),Condensate,7200.0
MAY,ODUDU (AMENAM BLEND),Condensate,7440.0
JUNE,ODUDU (AMENAM BLEND),Condensate,9900.0
JANUARY,TULJA - OKWUIBOME,Crude Oil,1758010.0
FEBRUARY,TULJA - OKWUIBOME,Crude Oil,1386840.0
MARCH,TULJA - OKWUIBOME,Crude Oil,1566740.0
APRIL,TULJA - OKWUIBOME,Crude Oil,1595700.0
MAY,TULJA - OKWUIBOME,Crude Oil,1655710.0
JUNE,TULJA - OKWUIBOME,Crude Oil,1626600.0
JANUARY,TULJA - OKWUIBOME,Condensate,318370.0
FEBRUARY,TULJA - OKWUIBOME,Condensate,286160.0
MARCH,TULJA - OKWUIBOME,Condensate,316820.0
APRIL,TULJA - OKWUIBOME,Condensate,304800.0
MAY,TULJA - OKWUIBOME,Condensate,314650.0
JUNE,TULJA - OKWUIBOME,Condensate,303300.0
JANUARY,AJAPA,Crude Oil,61690.0
FEBRUARY,AJAPA,Crude Oil,52640.0
MARCH,AJAPA,Crude Oil,36270.0
APRIL,AJAPA,Crude Oil,52800.0
MAY,AJAPA,Crude Oil,35340.0
JUNE,AJAPA,Crude Oil,80700.0
JANUARY,OKORO (Ex Ima Terminal),Crude Oil,154070.0
FEBRUARY,OKORO (Ex Ima Terminal),Crude Oil,93800.0
MARCH,OKORO (Ex Ima Terminal),Crude Oil,119040.0
APRIL,OKORO (Ex Ima Terminal),Crude Oil,114000.0
MAY,OKORO (Ex Ima Terminal),Crude Oil,119660.0
JUNE,OKORO (Ex Ima Terminal),Crude Oil,162900.0
JANUARY,OTAKPIPO,Crude Oil,196230.0
FEBRUARY,OTAKPIPO,Crude Oil,176120.0
MARCH,OTAKPIPO,Crude Oil,263190.0
APRIL,OTAKPIPO,Crude Oil,255600.0
MAY,OTAKPIPO,Crude Oil,223510.0
JUNE,OTAKPIPO,Crude Oil,178200.0
JANUARY,ANTAN,Crude Oil,150660.0
FEBRUARY,ANTAN,Crude Oil,143920.0
MARCH,ANTAN,Crude Oil,183210.0
APRIL,ANTAN,Crude Oil,227100.0
MAY,ANTAN,Crude Oil,214830.0
JUNE,ANTAN,Crude Oil,226800.0
JANUARY,OKONO,Crude Oil,142600.0
FEBRUARY,OKONO,Crude Oil,205240.0
MARCH,OKONO,Crude Oil,222580.0
APRIL,OKONO,Crude Oil,208500.0
MAY,OKONO,Crude Oil,193750.0
JUNE,OKONO,Crude Oil,106500.0
JANUARY,YOHO,Crude Oil,3720.0
JANUARY,OKWORI,Crude Oil,102610.0
FEBRUARY,OKWORI,Crude Oil,88480.0
MARCH,OKWORI,Crude Oil,84940.0
APRIL,OKWORI,Crude Oil,91200.0
MAY,OKWORI,Crude Oil,97960.0
JUNE,OKWORI,Crude Oil,72900.0
JANUARY,EBOK,Crude Oil,255750.0
FEBRUARY,EBOK,Crude Oil,223160.0
MARCH,EBOK,Crude Oil,233120.0
APRIL,EBOK,Crude Oil,222600.0
MAY,EBOK,Crude Oil,221960.0
JUNE,EBOK,Crude Oil,214500.0
JANUARY,BONGA,Crude Oil,3701400.0
FEBRUARY,BONGA,Crude Oil,56560.0
MARCH,BONGA,Crude Oil,2851690.0
APRIL,BONGA,Crude Oil,3063600.0
MAY,BONGA,Crude Oil,3178740.0
JUNE,BONGA,Crude Oil,3109800.0
JANUARY,ERHA,Crude Oil,2193560.0
FEBRUARY,ERHA,Crude Oil,1898400.0
MARCH,ERHA,Crude Oil,2187980.0
APRIL,ERHA,Crude Oil,2045100.0
MAY,ERHA,Crude Oil,2161630.0
JUNE,ERHA,Crude Oil,1978800.0
JANUARY,USAN,Crude Oil,1040980.0
FEBRUARY,USAN,Crude Oil,1016960.0
MARCH,USAN,Crude Oil,1080040.0
APRIL,USAN,Crude Oil,928500.0
MAY,USAN,Crude Oil,999130.0
JUNE,USAN,Crude Oil,890700.0
JANUARY,EGINA,Crude Oil,1541320.0
FEBRUARY,EGINA,Crude Oil,1506400.0
MARCH,EGINA,Crude Oil,1599600.0
APRIL,EGINA,Crude Oil,1467000.0
MAY,EGINA,Crude Oil,1536360.0
JUNE,EGINA,Crude Oil,1438500.0
JANUARY,OYO / OBODO,Crude Oil,24800.0
FEBRUARY,OYO / OBODO,Crude Oil,21560.0
MARCH,OYO / OBODO,Crude Oil,24180.0
APRIL,OYO / OBODO,Crude Oil,0.0
JANUARY,ABO,Crude Oil,269700.0
FEBRUARY,ABO,Crude Oil,249200.0
MARCH,ABO,Crude Oil,256370.0
APRIL,ABO,Crude Oil,236100.0
MAY,ABO,Crude Oil,224130.0
JUNE,ABO,Crude Oil,206100.0
JANUARY,PENNINGTON,Crude Oil,429660.0
FEBRUARY,PENNINGTON,Crude Oil,375200.0
MARCH,PENNINGTON,Crude Oil,165540.0
APRIL,PENNINGTON,Crude Oil,153300.0
MAY,PENNINGTON,Crude Oil,62620.0
JUNE,PENNINGTON,Crude Oil,116400.0
JANUARY,UGO OCHA (JONES CREEK),Crude Oil,1077870.0
FEBRUARY,UGO OCHA (JONES CREEK),Crude Oil,1034600.0
MARCH,UGO OCHA (JONES CREEK),Crude Oil,961000.0
APRIL,UGO OCHA (JONES CREEK),Crude Oil,1012500.0
MAY,UGO OCHA (JONES CREEK),Crude Oil,1113830.0
JUNE,UGO OCHA (JONES CREEK),Crude Oil,807000.0
JANUARY,SEA EAGLE (EA),Crude Oil,536300.0
FEBRUARY,SEA EAGLE (EA),Crude Oil,449400.0
MARCH,SEA EAGLE (EA),Crude Oil,469960.0
APRIL,SEA EAGLE (EA),Crude Oil,431100.0
MAY,SEA EAGLE (EA),Crude Oil,464380.0
JUNE,SEA EAGLE (EA),Crude Oil,437100.0
JANUARY,ANYALA MADU (CJ Blend),Crude Oil,1416700.0
FEBRUARY,ANYALA MADU (CJ Blend),Crude Oil,410200.0
MARCH,ANYALA MADU (CJ Blend),Crude Oil,1215200.0
APRIL,ANYALA MADU (CJ Blend),Crude Oil,1809000.0
MAY,ANYALA MADU (CJ Blend),Crude Oil,1558990.0
JUNE,ANYALA MADU (CJ Blend),Crude Oil,1655100.0
JANUARY,NEMBE,Crude Oil,1271930.0
FEBRUARY,NEMBE,Crude Oil,742840.0
MARCH,NEMBE,Crude Oil,1399340.0
APRIL,NEMBE,Crude Oil,1188300.0
MAY,NEMBE,Crude Oil,1293320.0
JUNE,NEMBE,Crude Oil,1220400.0
JANUARY,UTAPATE,Crude Oil,1710890.0
FEBRUARY,UTAPATE,Crude Oil,1623160.0
MARCH,UTAPATE,Crude Oil,1798620.0
APRIL,UTAPATE,Crude Oil,1778700.0
MAY,UTAPATE,Crude Oil,1834270.0
JUNE,UTAPATE,Crude Oil,1788900.0
JANUARY,CAWTHORNE,Crude Oil,382540.0
FEBRUARY,CAWTHORNE,Crude Oil,460600.0
MARCH,CAWTHORNE,Crude Oil,743070.0
APRIL,CAWTHORNE,Crude Oil,929100.0
MAY,CAWTHORNE,Crude Oil,897140.0
JUNE,CAWTHORNE,Crude Oil,994200.0
JANUARY,AGBAMI,Condensate,1680200.0
FEBRUARY,AGBAMI,Condensate,1778840.0
MARCH,AGBAMI,Condensate,2099940.0
APRIL,AGBAMI,Condensate,2013000.0
MAY,AGBAMI,Condensate,2144270.0
JUNE,AGBAMI,Condensate,2221800.0
JANUARY,AKPO,Condensate,1553410.0
FEBRUARY,AKPO,Condensate,1305360.0
MARCH,AKPO,Condensate,1288670.0
APRIL,AKPO,Condensate,1341300.0
MAY,AKPO,Condensate,1158780.0
JUNE,AKPO,Condensate,1218900.0
JANUARY,AJAPA,Condensate,55490.0
FEBRUARY,AJAPA,Condensate,32200.0
MARCH,AJAPA,Condensate,28520.0
APRIL,AJAPA,Condensate,26400.0
MAY,AJAPA,Condensate,39370.0
JUNE,AJAPA,Condensate,59100.0
