month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,118720.54,122990.36,241710.9,59088.07,65578.44,96240.23,220906.74,17166.08
FEBRUARY,113727.48,104977.03,218704.52,59430.45,59831.91,84158.09,203420.44,14085.55
MARCH,122604.99,120674.96,243279.96,67728.62,60576.18,98487.39,226792.19,15575.1
APRIL,114097.32,123986.96,238084.28,61996.53,60881.27,98688.53,221566.33,16517.95
MAY,122692.23,123273.93,245966.16,65500.85,67679.33,95141.42,228321.59,17644.56
