month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,7570173.0
FEBRUARY,BONNY,Crude Oil,5892185.0
MARCH,BONNY,Crude Oil,7360738.0
APRIL,BONNY,Crude Oil,7079233.0
MAY,BONNY,Crude Oil,6673050.0
JUNE,BONNY,Crude Oil,6625912.0
JULY,BONNY,Crude Oil,7567542.0
AUGUST,BONNY,Crude Oil,5850190.0
SEPTEMBER,BONNY,Crude Oil,5924385.0
OCTOBER,BONNY,Crude Oil,7535315.0
NOVEMBER,BONNY,Crude Oil,7751499.0
DECEMBER,BONNY,Crude Oil,7884015.0
JANUARY,BONNY,Condensate,574015.0
FEBRUARY,BONNY,Condensate,475882.0
MARCH,BONNY,Condensate,290820.0
APRIL,BONNY,Condensate,326253.0
MAY,BONNY,Condensate,423241.0
JUNE,BONNY,Condensate,542024.0
JULY,BONNY,Condensate,507637.0
AUGUST,BONNY,Condensate,418278.0
SEPTEMBER,BONNY,Condensate,393815.0
OCTOBER,BONNY,Condensate,399509.0
NOVEMBER,BONNY,Condensate,419547.0
DECEMBER,BONNY,Condensate,406781.0
JANUARY,BRASS,Crude Oil,860312.0
FEBRUARY,BRASS,Crude Oil,726912.0
MARCH,BRASS,Crude Oil,937437.0
APRIL,BRASS,Crude Oil,619261.0
MAY,BRASS,Crude Oil,857711.0
JUNE,BRASS,Crude Oil,710231.0
JULY,BRASS,Crude Oil,820821.0
AUGUST,BRASS,Crude Oil,846393.0
SEPTEMBER,BRASS,Crude Oil,935010.0
OCTOBER,BRASS,Crude Oil,946439.0
NOVEMBER,BRASS,Crude Oil,981254.0
DECEMBER,BRASS,Crude Oil,914165.0
JANUARY,BRASS,Condensate,190629.0
FEBRUARY,BRASS,Condensate,149116.0
MARCH,BRASS,Condensate,180191.0
APRIL,BRASS,Condensate,127826.0
MAY,BRASS,Condensate,175028.0
JUNE,BRASS,Condensate,167744.0
JULY,BRASS,Condensate,294502.0
AUGUST,BRASS,Condensate,309192.0
SEPTEMBER,BRASS,Condensate,217677.0
OCTOBER,BRASS,Condensate,220768.0
NOVEMBER,BRASS,Condensate,225872.0
DECEMBER,BRASS,Condensate,265032.0
JANUARY,QUA IBOE,Crude Oil,4580997.0
FEBRUARY,QUA IBOE,Crude Oil,4227836.0
MARCH,QUA IBOE,Crude Oil,3504376.0
APRIL,QUA IBOE,Crude Oil,4296506.0
MAY,QUA IBOE,Crude Oil,4921690.0
JUNE,QUA IBOE,Crude Oil,5036322.0
JULY,QUA IBOE,Crude Oil,4503690.0
AUGUST,QUA IBOE,Crude Oil,4946259.0
SEPTEMBER,QUA IBOE,Crude Oil,4640056.0
OCTOBER,QUA IBOE,Crude Oil,2683665.0
NOVEMBER,QUA IBOE,Crude Oil,3980764.0
DECEMBER,QUA IBOE,Crude Oil,5074619.0
JANUARY,QUA IBOE,Condensate,55999.0
FEBRUARY,QUA IBOE,Condensate,55197.0
MARCH,QUA IBOE,Condensate,56460.0
APRIL,QUA IBOE,Condensate,55062.0
MAY,QUA IBOE,Condensate,53306.0
JUNE,QUA IBOE,Condensate,53284.0
JULY,QUA IBOE,Condensate,47463.0
AUGUST,QUA IBOE,Condensate,50510.0
SEPTEMBER,QUA IBOE,Condensate,48737.0
OCTOBER,QUA IBOE,Condensate,49125.0
NOVEMBER,QUA IBOE,Condensate,53963.0
DECEMBER,QUA IBOE,Condensate,50759.0
JANUARY,FORCADOS,Crude Oil,7997419.0
FEBRUARY,FORCADOS,Crude Oil,6919400.0
MARCH,FORCADOS,Crude Oil,5798465.0
APRIL,FORCADOS,Crude Oil,8409659.0
MAY,FORCADOS,Crude Oil,7089537.0
JUNE,FORCADOS,Crude Oil,7901129.0
JULY,FORCADOS,Crude Oil,8059799.0
AUGUST,FORCADOS,Crude Oil,8084121.0
SEPTEMBER,FORCADOS,Crude Oil,6853852.0
OCTOBER,FORCADOS,Crude Oil,8585208.0
NOVEMBER,FORCADOS,Crude Oil,8327198.0
DECEMBER,FORCADOS,Crude Oil,8569954.0
JANUARY,FORCADOS,Condensate,864644.0
FEBRUARY,FORCADOS,Condensate,832417.0
MARCH,FORCADOS,Condensate,977791.0
APRIL,FORCADOS,Condensate,947916.0
MAY,FORCADOS,Condensate,987103.0
JUNE,FORCADOS,Condensate,944443.0
JULY,FORCADOS,Condensate,980016.0
AUGUST,FORCADOS,Condensate,915239.0
SEPTEMBER,FORCADOS,Condensate,673607.0
OCTOBER,FORCADOS,Condensate,823815.0
NOVEMBER,FORCADOS,Condensate,795295.0
DECEMBER,FORCADOS,Condensate,714440.0
JANUARY,ESCRAVOS (Oil Terminal),Crude Oil,4261436.0
FEBRUARY,ESCRAVOS (Oil Terminal),Crude Oil,3794400.0
MARCH,ESCRAVOS (Oil Terminal),Crude Oil,4186992.0
APRIL,ESCRAVOS (Oil Terminal),Crude Oil,4082589.0
MAY,ESCRAVOS (Oil Terminal),Crude Oil,4439405.0
JUNE,ESCRAVOS (Oil Terminal),Crude Oil,4047894.0
JULY,ESCRAVOS (Oil Terminal),Crude Oil,4335432.0
AUGUST,ESCRAVOS (Oil Terminal),Crude Oil,4080954.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4129694.0
OCTOBER,ESCRAVOS (Oil Terminal),Crude Oil,4329068.0
NOVEMBER,ESCRAVOS (Oil Terminal),Crude Oil,3829825.0
DECEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4091466.0
JANUARY,ESCRAVOS (Oil Terminal),Condensate,218992.0
FEBRUARY,ESCRAVOS (Oil Terminal),Condensate,82573.0
MARCH,ESCRAVOS (Oil Terminal),Condensate,220154.0
APRIL,ESCRAVOS (Oil Terminal),Condensate,219894.0
MAY,ESCRAVOS (Oil Terminal),Condensate,130940.0
JUNE,ESCRAVOS (Oil Terminal),Condensate,123762.0
JULY,ESCRAVOS (Oil Terminal),Condensate,137946.0
AUGUST,ESCRAVOS (Oil Terminal),Condensate,107005.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Condensate,121687.0
OCTOBER,ESCRAVOS (Oil Terminal),Condensate,111949.0
NOVEMBER,ESCRAVOS (Oil Terminal),Condensate,300431.0
DECEMBER,ESCRAVOS (Oil Terminal),Condensate,90173.0
JANUARY,ODUDU (AMENAM BLEND),Crude Oil,2324122.0
FEBRUARY,ODUDU (AMENAM BLEND),Crude Oil,2063093.0
MARCH,ODUDU (AMENAM BLEND),Crude Oil,2313424.0
APRIL,ODUDU (AMENAM BLEND),Crude Oil,2106782.0
MAY,ODUDU (AMENAM BLEND),Crude Oil,1890759.0
JUNE,ODUDU (AMENAM BLEND),Crude Oil,2061295.0
JULY,ODUDU (AMENAM BLEND),Crude Oil,2124883.0
AUGUST,ODUDU (AMENAM BLEND),Crude Oil,1846043.0
SEPTEMBER,ODUDU (AMENAM BLEND),Crude Oil,2005854.0
OCTOBER,ODUDU (AMENAM BLEND),Crude Oil,2111519.0
NOVEMBER,ODUDU (AMENAM BLEND),Crude Oil,1888702.0
DECEMBER,ODUDU (AMENAM BLEND),Crude Oil,1970777.0
JANUARY,ODUDU (AMENAM BLEND),Condensate,5934.0
FEBRUARY,ODUDU (AMENAM BLEND),Condensate,4508.0
MARCH,ODUDU (AMENAM BLEND),Condensate,5221.0
APRIL,ODUDU (AMENAM BLEND),Condensate,4865.0
MAY,ODUDU (AMENAM BLEND),Condensate,5043.0
JUNE,ODUDU (AMENAM BLEND),Condensate,4438.0
JULY,ODUDU (AMENAM BLEND),Condensate,4741.0
AUGUST,ODUDU (AMENAM BLEND),Condensate,4741.0
SEPTEMBER,ODUDU (AMENAM BLEND),Condensate,4590.0
OCTOBER,ODUDU (AMENAM BLEND),Condensate,4666.0
NOVEMBER,ODUDU (AMENAM BLEND),Condensate,4565.0
DECEMBER,ODUDU (AMENAM BLEND),Condensate,4616.0
JANUARY,TULJA - OKWUIBOME,Crude Oil,2260611.0
FEBRUARY,TULJA - OKWUIBOME,Crude Oil,1899107.0
MARCH,TULJA - OKWUIBOME,Crude Oil,2110574.0
APRIL,TULJA - OKWUIBOME,Crude Oil,2065631.0
MAY,TULJA - OKWUIBOME,Crude Oil,2119797.0
JUNE,TULJA - OKWUIBOME,Crude Oil,2024726.0
JULY,TULJA - OKWUIBOME,Crude Oil,2080781.0
AUGUST,TULJA - OKWUIBOME,Crude Oil,2009287.0
SEPTEMBER,TULJA - OKWUIBOME,Crude Oil,1627130.0
OCTOBER,TULJA - OKWUIBOME,Crude Oil,1581339.0
NOVEMBER,TULJA - OKWUIBOME,Crude Oil,1591292.0
DECEMBER,TULJA - OKWUIBOME,Crude Oil,1561674.0
JANUARY,TULJA - OKWUIBOME,Condensate,254417.0
FEBRUARY,TULJA - OKWUIBOME,Condensate,272591.0
MARCH,TULJA - OKWUIBOME,Condensate,280584.0
APRIL,TULJA - OKWUIBOME,Condensate,267405.0
MAY,TULJA - OKWUIBOME,Condensate,284381.0
JUNE,TULJA - OKWUIBOME,Condensate,276006.0
JULY,TULJA - OKWUIBOME,Condensate,296915.0
AUGUST,TULJA - OKWUIBOME,Condensate,303162.0
SEPTEMBER,TULJA - OKWUIBOME,Condensate,302246.0
OCTOBER,TULJA - OKWUIBOME,Condensate,320364.0
NOVEMBER,TULJA - OKWUIBOME,Condensate,310201.0
DECEMBER,TULJA - OKWUIBOME,Condensate,318711.0
JANUARY,AJE,Crude Oil,0.0
FEBRUARY,AJE,Crude Oil,0.0
MARCH,AJE,Crude Oil,0.0
APRIL,AJE,Crude Oil,0.0
MAY,AJE,Crude Oil,0.0
JUNE,AJE,Crude Oil,0.0
JULY,AJE,Crude Oil,0.0
AUGUST,AJE,Crude Oil,0.0
SEPTEMBER,AJE,Crude Oil,0.0
