month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,117415.3515,119293.7723,236709.1237,57491.3011,49124.8124,107380.7449,213996.8584,21342.1606
FEBRUARY,118786.275,105401.8118,224188.0868,60885.101,44977.9836,96108.6815,201971.7661,20685.9707
MARCH,128451.2496,106967.3925,235418.6421,64670.2719,45245.6593,98775.5748,208691.506,25645.6687
APRIL,123967.5796,99424.777,223392.3567,64254.2022,45506.0698,90182.4586,199942.7306,22583.5136
MAY,124032.3877,109774.5749,233806.9626,65681.3859,54797.2877,90131.3304,210610.004,22256.4528
JUNE,124301.5832,110187.8291,234489.4123,64279.5216,51279.0097,97801.6272,213360.1585,20232.8435
JULY,129407.6552,112318.9586,241726.6137,66748.5103,51867.883,99020.841,217637.2343,23026.9593
AUGUST,126591.962,113378.2679,239970.2299,66784.0498,51046.8526,102298.7314,220129.6337,18704.0075
SEPTEMBER,120265.6509,101535.9805,221801.6314,65618.6492,45204.5403,92006.1646,202829.354,17924.5851
OCTOBER,118540.7782,90571.5133,209112.2915,61598.511,47496.7599,80040.4028,189135.6736,18995.5062
NOVEMBER,112387.5005,103011.5981,215399.0986,60475.7253,46740.5977,86540.5264,193756.8494,20837.9693
DECEMBER,115441.1561,112857.1888,228298.3449,60996.0206,47605.0514,98357.9311,206959.0031,20343.7264
