month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,6634945.0
FEBRUARY,BONNY,Crude Oil,7149280.17
MARCH,BONNY,Crude Oil,8061278.49
APRIL,BONNY,Crude Oil,6874378.0
MAY,BONNY,Crude Oil,6887702.63
JUNE,BONNY,Crude Oil,5989738.37
JULY,BONNY,Crude Oil,4856500.61
AUGUST,BONNY,Crude Oil,4954191.0
SEPTEMBER,BONNY,Crude Oil,4767116.5
OCTOBER,BONNY,Crude Oil,4463322.8
NOVEMBER,BONNY,Crude Oil,5723448.59
DECEMBER,BONNY,Crude Oil,6387814.27
JANUARY,BONNY,Condensate,1488380.0
FEBRUARY,BONNY,Condensate,1494401.0
MARCH,BONNY,Condensate,1721089.0
APRIL,BONNY,Condensate,1531247.0
MAY,BONNY,Condensate,1433449.66
JUNE,BONNY,Condensate,853156.64
JULY,BONNY,Condensate,1429852.0
AUGUST,BONNY,Condensate,1283058.0
SEPTEMBER,BONNY,Condensate,1204220.0
OCTOBER,BONNY,Condensate,1319680.0
NOVEMBER,BONNY,Condensate,1300444.0
DECEMBER,BONNY,Condensate,1310534.0
JANUARY,BRASS,Crude Oil,2396536.55
FEBRUARY,BRASS,Crude Oil,2349987.63
MARCH,BRASS,Crude Oil,2411776.99
APRIL,BRASS,Crude Oil,2669576.66
MAY,BRASS,Crude Oil,2873181.25
JUNE,BRASS,Crude Oil,2514574.94
JULY,BRASS,Crude Oil,2654575.61
AUGUST,BRASS,Crude Oil,2349639.7
SEPTEMBER,BRASS,Crude Oil,2272741.09
OCTOBER,BRASS,Crude Oil,2176705.36
NOVEMBER,BRASS,Crude Oil,1759532.89
DECEMBER,BRASS,Crude Oil,1653760.12
JANUARY,BRASS,Condensate,365468.45
FEBRUARY,BRASS,Condensate,391402.37
MARCH,BRASS,Condensate,385246.01
APRIL,BRASS,Condensate,484475.74
MAY,BRASS,Condensate,470583.71
JUNE,BRASS,Condensate,578466.69
JULY,BRASS,Condensate,618487.39
AUGUST,BRASS,Condensate,553671.3
SEPTEMBER,BRASS,Condensate,530407.91
OCTOBER,BRASS,Condensate,586732.64
NOVEMBER,BRASS,Condensate,419131.0
DECEMBER,BRASS,Condensate,315596.0
JANUARY,QUA IBOE,Crude Oil,7000066.76
FEBRUARY,QUA IBOE,Crude Oil,6704942.91
MARCH,QUA IBOE,Crude Oil,7281638.22
APRIL,QUA IBOE,Crude Oil,6733224.17
MAY,QUA IBOE,Crude Oil,5138989.48
JUNE,QUA IBOE,Crude Oil,5156487.0
JULY,QUA IBOE,Crude Oil,6222625.27
AUGUST,QUA IBOE,Crude Oil,5782514.01
SEPTEMBER,QUA IBOE,Crude Oil,5375886.47
OCTOBER,QUA IBOE,Crude Oil,5575207.85
NOVEMBER,QUA IBOE,Crude Oil,4679076.71
DECEMBER,QUA IBOE,Crude Oil,1507804.44
JANUARY,QUA IBOE,Condensate,110558.24
FEBRUARY,QUA IBOE,Condensate,111329.09
MARCH,QUA IBOE,Condensate,18534.78
APRIL,QUA IBOE,Condensate,118767.83
MAY,QUA IBOE,Condensate,186463.52
JUNE,QUA IBOE,Condensate,182792.0
JULY,QUA IBOE,Condensate,179736.73
AUGUST,QUA IBOE,Condensate,167625.99
SEPTEMBER,QUA IBOE,Condensate,107747.53
OCTOBER,QUA IBOE,Condensate,112763.15
NOVEMBER,QUA IBOE,Condensate,97667.29
DECEMBER,QUA IBOE,Condensate,40537.56
JANUARY,FORCADOS,Crude Oil,7681274.69
FEBRUARY,FORCADOS,Crude Oil,6994128.08
MARCH,FORCADOS,Crude Oil,6722179.5
APRIL,FORCADOS,Crude Oil,7332950.98
MAY,FORCADOS,Crude Oil,6578449.8
JUNE,FORCADOS,Crude Oil,6938765.45
JULY,FORCADOS,Crude Oil,6117756.97
AUGUST,FORCADOS,Crude Oil,6606099.05
SEPTEMBER,FORCADOS,Crude Oil,6893281.47
