month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,126884.0723,115679.6664,242563.7387,68388.8552,50397.5236,103875.7165,222662.0952,18454.9972
FEBRUARY,109298.0433,107661.2628,216959.3061,58075.8254,47517.9284,91092.6685,196686.4223,19078.9056
MARCH,117141.0389,103908.0581,221049.097,65161.5375,48856.4475,89639.2556,203657.2407,16717.0167
APRIL,116577.087,99544.5365,216121.6235,64612.4278,47060.2341,87374.4813,199047.1432,16473.516
MAY,107265.7462,98215.2641,205481.0103,57086.6254,48025.3149,84014.031,189125.9713,15432.6218
JUNE,118380.6687,95979.1047,214359.7735,61697.9988,47421.6081,87927.0798,197046.6868,16056.0301
JULY,126357.9096,94371.9595,220729.8692,60142.4031,47014.932,97211.6838,204369.0189,15376.4792
AUGUST,116550.4255,76016.8477,192567.2731,62948.996,46756.9928,67927.7296,177633.7183,14353.8879
SEPTEMBER,120359.2194,74937.4846,195296.7039,64021.8055,45661.6293,73239.0727,182922.5075,11902.4816
OCTOBER,126517.0495,74255.8165,200772.8661,70285.5857,43413.5374,73782.1898,187481.3129,12815.8627
NOVEMBER,123752.4189,76782.9526,200535.3716,64085.7864,47480.5558,72277.8487,183844.1908,16316.3737
DECEMBER,120542.444,74262.8433,194805.2873,58283.5957,49721.8731,70889.6246,178895.0934,15464.2712
