month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,3880350.78
FEBRUARY,BONNY,Crude Oil,2338355.24
MARCH,BONNY,Crude Oil,2503135.47
APRIL,BONNY,Crude Oil,1470109.98
MAY,BONNY,Crude Oil,945592.25
JUNE,BONNY,Crude Oil,962484.19
JULY,BONNY,Crude Oil,799294.17
AUGUST,BONNY,Crude Oil,749463.11
SEPTEMBER,BONNY,Crude Oil,167582.2
OCTOBER,BONNY,Crude Oil,1616719.87
NOVEMBER,BONNY,Crude Oil,1574410.98
DECEMBER,BONNY,Crude Oil,2490140.48
JANUARY,BONNY,Condensate,721358.0
FEBRUARY,BONNY,Condensate,721377.0
MARCH,BONNY,Condensate,339744.0
APRIL,BONNY,Condensate,369562.0
MAY,BONNY,Condensate,316456.0
JUNE,BONNY,Condensate,240017.0
JULY,BONNY,Condensate,140659.0
AUGUST,BONNY,Condensate,182056.0
SEPTEMBER,BONNY,Condensate,45692.0
OCTOBER,BONNY,Condensate,243057.0
NOVEMBER,BONNY,Condensate,354804.0
DECEMBER,BONNY,Condensate,646979.0
JANUARY,BRASS,Crude Oil,1369363.0
FEBRUARY,BRASS,Crude Oil,1169296.56
MARCH,BRASS,Crude Oil,830954.0
APRIL,BRASS,Crude Oil,743705.0
MAY,BRASS,Crude Oil,713318.9
JUNE,BRASS,Crude Oil,739983.4
JULY,BRASS,Crude Oil,290227.46
AUGUST,BRASS,Crude Oil,270932.2
SEPTEMBER,BRASS,Crude Oil,172814.0
OCTOBER,BRASS,Crude Oil,358671.0
NOVEMBER,BRASS,Crude Oil,404726.0
DECEMBER,BRASS,Crude Oil,581198.0
JANUARY,BRASS,Condensate,356819.0
FEBRUARY,BRASS,Condensate,394915.44
MARCH,BRASS,Condensate,434113.0
APRIL,BRASS,Condensate,442448.0
MAY,BRASS,Condensate,408689.1
JUNE,BRASS,Condensate,184898.6
JULY,BRASS,Condensate,90541.54
AUGUST,BRASS,Condensate,58299.8
SEPTEMBER,BRASS,Condensate,19663.0
OCTOBER,BRASS,Condensate,22448.0
NOVEMBER,BRASS,Condensate,26946.0
DECEMBER,BRASS,Condensate,45010.0
JANUARY,QUA IBOE,Crude Oil,5381982.0
FEBRUARY,QUA IBOE,Crude Oil,4469951.0
MARCH,QUA IBOE,Crude Oil,5289249.0
APRIL,QUA IBOE,Crude Oil,4790179.0
MAY,QUA IBOE,Crude Oil,2659717.0
JUNE,QUA IBOE,Crude Oil,4271262.0
JULY,QUA IBOE,Crude Oil,4811149.0
AUGUST,QUA IBOE,Crude Oil,4796262.0
SEPTEMBER,QUA IBOE,Crude Oil,4976836.0
OCTOBER,QUA IBOE,Crude Oil,4984248.0
NOVEMBER,QUA IBOE,Crude Oil,4486304.0
DECEMBER,QUA IBOE,Crude Oil,4821607.59
JANUARY,QUA IBOE,Condensate,85024.0
FEBRUARY,QUA IBOE,Condensate,77244.0
MARCH,QUA IBOE,Condensate,94737.0
APRIL,QUA IBOE,Condensate,99150.0
MAY,QUA IBOE,Condensate,92607.0
JUNE,QUA IBOE,Condensate,103846.0
JULY,QUA IBOE,Condensate,96930.0
AUGUST,QUA IBOE,Condensate,90197.0
SEPTEMBER,QUA IBOE,Condensate,84036.0
OCTOBER,QUA IBOE,Condensate,56160.0
NOVEMBER,QUA IBOE,Condensate,59841.0
DECEMBER,QUA IBOE,Condensate,33155.41
JANUARY,FORCADOS,Crude Oil,7508980.0
FEBRUARY,FORCADOS,Crude Oil,5511454.67
MARCH,FORCADOS,Crude Oil,6388053.0
APRIL,FORCADOS,Crude Oil,6975726.0
MAY,FORCADOS,Crude Oil,4348440.1
JUNE,FORCADOS,Crude Oil,5147211.6
JULY,FORCADOS,Crude Oil,3858187.6
AUGUST,FORCADOS,Crude Oil,208429.8
SEPTEMBER,FORCADOS,Crude Oil,134437.0
OCTOBER,FORCADOS,Crude Oil,2364027.0
NOVEMBER,FORCADOS,Crude Oil,6255345.0
DECEMBER,FORCADOS,Crude Oil,6579692.0
JANUARY,FORCADOS,Condensate,874634.0
FEBRUARY,FORCADOS,Condensate,766477.33
MARCH,FORCADOS,Condensate,883131.0
APRIL,FORCADOS,Condensate,868847.0
MAY,FORCADOS,Condensate,840551.9
JUNE,FORCADOS,Condensate,755819.4
JULY,FORCADOS,Condensate,615331.4
AUGUST,FORCADOS,Condensate,297552.2
SEPTEMBER,FORCADOS,Condensate,0.0
OCTOBER,FORCADOS,Condensate,227402.0
NOVEMBER,FORCADOS,Condensate,601536.0
DECEMBER,FORCADOS,Condensate,593980.0
JANUARY,ESCRAVOS (Oil Terminal),Crude Oil,3706143.0
FEBRUARY,ESCRAVOS (Oil Terminal),Crude Oil,3313815.0
MARCH,ESCRAVOS (Oil Terminal),Crude Oil,3379984.0
APRIL,ESCRAVOS (Oil Terminal),Crude Oil,3424167.0
MAY,ESCRAVOS (Oil Terminal),Crude Oil,3866616.0
JUNE,ESCRAVOS (Oil Terminal),Crude Oil,3616518.0
JULY,ESCRAVOS (Oil Terminal),Crude Oil,3697075.0
AUGUST,ESCRAVOS (Oil Terminal),Crude Oil,4184361.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Crude Oil,3272962.0
OCTOBER,ESCRAVOS (Oil Terminal),Crude Oil,4214693.0
NOVEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4666956.0
DECEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4419786.0
JANUARY,ESCRAVOS (Oil Terminal),Condensate,99539.0
FEBRUARY,ESCRAVOS (Oil Terminal),Condensate,105314.0
MARCH,ESCRAVOS (Oil Terminal),Condensate,173034.0
APRIL,ESCRAVOS (Oil Terminal),Condensate,109650.0
MAY,ESCRAVOS (Oil Terminal),Condensate,145876.0
JUNE,ESCRAVOS (Oil Terminal),Condensate,101217.0
JULY,ESCRAVOS (Oil Terminal),Condensate,90733.0
AUGUST,ESCRAVOS (Oil Terminal),Condensate,138937.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Condensate,310802.0
OCTOBER,ESCRAVOS (Oil Terminal),Condensate,317594.0
NOVEMBER,ESCRAVOS (Oil Terminal),Condensate,167282.0
DECEMBER,ESCRAVOS (Oil Terminal),Condensate,156655.0
JANUARY,ODUDU (AMENAM BLEND),Crude Oil,2199729.0
FEBRUARY,ODUDU (AMENAM BLEND),Crude Oil,2040717.0
MARCH,ODUDU (AMENAM BLEND),Crude Oil,2223122.0
APRIL,ODUDU (AMENAM BLEND),Crude Oil,2030437.0
MAY,ODUDU (AMENAM BLEND),Crude Oil,2124344.0
JUNE,ODUDU (AMENAM BLEND),Crude Oil,2088242.0
JULY,ODUDU (AMENAM BLEND),Crude Oil,2272260.0
AUGUST,ODUDU (AMENAM BLEND),Crude Oil,2337348.0
SEPTEMBER,ODUDU (AMENAM BLEND),Crude Oil,2708033.0
OCTOBER,ODUDU (AMENAM BLEND),Crude Oil,2875657.0
NOVEMBER,ODUDU (AMENAM BLEND),Crude Oil,2876465.0
DECEMBER,ODUDU (AMENAM BLEND),Crude Oil,2968107.0
JANUARY,ODUDU (AMENAM BLEND),Condensate,16738.0
FEBRUARY,ODUDU (AMENAM BLEND),Condensate,13136.0
MARCH,ODUDU (AMENAM BLEND),Condensate,12735.0
APRIL,ODUDU (AMENAM BLEND),Condensate,11190.0
MAY,ODUDU (AMENAM BLEND),Condensate,13310.0
JUNE,ODUDU (AMENAM BLEND),Condensate,12688.0
JULY,ODUDU (AMENAM BLEND),Condensate,11606.0
AUGUST,ODUDU (AMENAM BLEND),Condensate,10327.0
