month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,6583946.13
FEBRUARY,BONNY,Crude Oil,4549659.91
MARCH,BONNY,Crude Oil,4230468.98
APRIL,BONNY,Crude Oil,4396460.96
MAY,BONNY,Crude Oil,3752071.21
JUNE,BONNY,Crude Oil,4435105.22
JULY,BONNY,Crude Oil,5233418.11
AUGUST,BONNY,Crude Oil,5310298.27
SEPTEMBER,BONNY,Crude Oil,5837169.34
OCTOBER,BONNY,Crude Oil,5546804.1
NOVEMBER,BONNY,Crude Oil,7053171.88
DECEMBER,BONNY,Crude Oil,7363201.75
JANUARY,BONNY,Condensate,587495.0
FEBRUARY,BONNY,Condensate,583490.0
MARCH,BONNY,Condensate,627057.0
APRIL,BONNY,Condensate,543214.0
MAY,BONNY,Condensate,640026.27
JUNE,BONNY,Condensate,568474.46
JULY,BONNY,Condensate,560106.0
AUGUST,BONNY,Condensate,584706.0
SEPTEMBER,BONNY,Condensate,511021.0
OCTOBER,BONNY,Condensate,494915.0
NOVEMBER,BONNY,Condensate,501329.0
DECEMBER,BONNY,Condensate,509569.57
JANUARY,BRASS,Crude Oil,725543.0
FEBRUARY,BRASS,Crude Oil,617374.0
MARCH,BRASS,Crude Oil,709898.5
APRIL,BRASS,Crude Oil,637322.0
MAY,BRASS,Crude Oil,635749.3
JUNE,BRASS,Crude Oil,647859.0
JULY,BRASS,Crude Oil,664569.0
AUGUST,BRASS,Crude Oil,720746.0
SEPTEMBER,BRASS,Crude Oil,884047.5
OCTOBER,BRASS,Crude Oil,850352.21
NOVEMBER,BRASS,Crude Oil,775490.49
DECEMBER,BRASS,Crude Oil,905544.78
JANUARY,BRASS,Condensate,160901.0
FEBRUARY,BRASS,Condensate,135498.0
MARCH,BRASS,Condensate,158529.0
APRIL,BRASS,Condensate,140724.0
MAY,BRASS,Condensate,153167.0
JUNE,BRASS,Condensate,144677.0
JULY,BRASS,Condensate,148961.0
AUGUST,BRASS,Condensate,161633.0
SEPTEMBER,BRASS,Condensate,201979.0
OCTOBER,BRASS,Condensate,201451.0
NOVEMBER,BRASS,Condensate,179148.0
DECEMBER,BRASS,Condensate,180417.0
JANUARY,QUA IBOE,Crude Oil,4251198.0
FEBRUARY,QUA IBOE,Crude Oil,3664686.0
MARCH,QUA IBOE,Crude Oil,4058695.0
APRIL,QUA IBOE,Crude Oil,4284484.0
MAY,QUA IBOE,Crude Oil,3962759.0
JUNE,QUA IBOE,Crude Oil,3261366.96
JULY,QUA IBOE,Crude Oil,3343465.0
AUGUST,QUA IBOE,Crude Oil,3073804.0
SEPTEMBER,QUA IBOE,Crude Oil,2833479.0
OCTOBER,QUA IBOE,Crude Oil,4114319.0
NOVEMBER,QUA IBOE,Crude Oil,4171753.0
DECEMBER,QUA IBOE,Crude Oil,4132505.62
JANUARY,QUA IBOE,Condensate,45075.0
FEBRUARY,QUA IBOE,Condensate,44684.0
MARCH,QUA IBOE,Condensate,37225.0
APRIL,QUA IBOE,Condensate,16091.0
MAY,QUA IBOE,Condensate,3896.0
JUNE,QUA IBOE,Condensate,18795.04
JULY,QUA IBOE,Condensate,18725.0
AUGUST,QUA IBOE,Condensate,19933.0
SEPTEMBER,QUA IBOE,Condensate,18906.0
OCTOBER,QUA IBOE,Condensate,23269.0
NOVEMBER,QUA IBOE,Condensate,20737.0
DECEMBER,QUA IBOE,Condensate,23315.38
JANUARY,FORCADOS,Crude Oil,7537634.08
FEBRUARY,FORCADOS,Crude Oil,6858004.29
MARCH,FORCADOS,Crude Oil,6700343.71
APRIL,FORCADOS,Crude Oil,6263239.54
MAY,FORCADOS,Crude Oil,6117847.97
JUNE,FORCADOS,Crude Oil,6156867.44
JULY,FORCADOS,Crude Oil,6876826.4
AUGUST,FORCADOS,Crude Oil,7915629.78
SEPTEMBER,FORCADOS,Crude Oil,6556231.26
OCTOBER,FORCADOS,Crude Oil,4571569.49
NOVEMBER,FORCADOS,Crude Oil,7426737.38
DECEMBER,FORCADOS,Crude Oil,7518494.28
JANUARY,FORCADOS,Condensate,1198789.12
FEBRUARY,FORCADOS,Condensate,982383.1
MARCH,FORCADOS,Condensate,1079115.44
APRIL,FORCADOS,Condensate,882459.46
MAY,FORCADOS,Condensate,1003124.67
JUNE,FORCADOS,Condensate,912116.65
JULY,FORCADOS,Condensate,949021.0
AUGUST,FORCADOS,Condensate,924317.23
SEPTEMBER,FORCADOS,Condensate,775015.64
OCTOBER,FORCADOS,Condensate,466005.53
NOVEMBER,FORCADOS,Condensate,1019247.38
DECEMBER,FORCADOS,Condensate,990131.12
JANUARY,ESCRAVOS (Oil Terminal),Crude Oil,4197367.27
FEBRUARY,ESCRAVOS (Oil Terminal),Crude Oil,3687305.73
MARCH,ESCRAVOS (Oil Terminal),Crude Oil,4024966.51
APRIL,ESCRAVOS (Oil Terminal),Crude Oil,3854555.89
MAY,ESCRAVOS (Oil Terminal),Crude Oil,4122813.67
JUNE,ESCRAVOS (Oil Terminal),Crude Oil,3996219.82
JULY,ESCRAVOS (Oil Terminal),Crude Oil,4381453.67
AUGUST,ESCRAVOS (Oil Terminal),Crude Oil,4187522.79
SEPTEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4099140.34
OCTOBER,ESCRAVOS (Oil Terminal),Crude Oil,4278506.87
NOVEMBER,ESCRAVOS (Oil Terminal),Crude Oil,3982719.44
DECEMBER,ESCRAVOS (Oil Terminal),Crude Oil,3803860.05
JANUARY,ESCRAVOS (Oil Terminal),Condensate,58296.9
FEBRUARY,ESCRAVOS (Oil Terminal),Condensate,42207.1
MARCH,ESCRAVOS (Oil Terminal),Condensate,99555.9
APRIL,ESCRAVOS (Oil Terminal),Condensate,76907.0
MAY,ESCRAVOS (Oil Terminal),Condensate,90597.0
JUNE,ESCRAVOS (Oil Terminal),Condensate,85125.0
JULY,ESCRAVOS (Oil Terminal),Condensate,83960.18
AUGUST,ESCRAVOS (Oil Terminal),Condensate,63176.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Condensate,44569.0
OCTOBER,ESCRAVOS (Oil Terminal),Condensate,62468.0
NOVEMBER,ESCRAVOS (Oil Terminal),Condensate,80067.0
DECEMBER,ESCRAVOS (Oil Terminal),Condensate,102261.0
JANUARY,ODUDU (AMENAM BLEND),Crude Oil,2934994.0
FEBRUARY,ODUDU (AMENAM BLEND),Crude Oil,2722999.0
MARCH,ODUDU (AMENAM BLEND),Crude Oil,2836178.0
APRIL,ODUDU (AMENAM BLEND),Crude Oil,2659792.0
MAY,ODUDU (AMENAM BLEND),Crude Oil,2631586.0
JUNE,ODUDU (AMENAM BLEND),Crude Oil,2572785.0
JULY,ODUDU (AMENAM BLEND),Crude Oil,2469985.0
AUGUST,ODUDU (AMENAM BLEND),Crude Oil,2583858.0
SEPTEMBER,ODUDU (AMENAM BLEND),Crude Oil,2462691.0
OCTOBER,ODUDU (AMENAM BLEND),Crude Oil,2526821.0
NOVEMBER,ODUDU (AMENAM BLEND),Crude Oil,2423720.0
DECEMBER,ODUDU (AMENAM BLEND),Crude Oil,2446481.0
JANUARY,ODUDU (AMENAM BLEND),Condensate,6413.0
FEBRUARY,ODUDU (AMENAM BLEND),Condensate,6403.0
MARCH,ODUDU (AMENAM BLEND),Condensate,9051.0
APRIL,ODUDU (AMENAM BLEND),Condensate,6427.0
MAY,ODUDU (AMENAM BLEND),Condensate,6970.0
JUNE,ODUDU (AMENAM BLEND),Condensate,6970.0
JULY,ODUDU (AMENAM BLEND),Condensate,5246.0
AUGUST,ODUDU (AMENAM BLEND),Condensate,5246.0
SEPTEMBER,ODUDU (AMENAM BLEND),Condensate,5821.0
OCTOBER,ODUDU (AMENAM BLEND),Condensate,5534.0
NOVEMBER,ODUDU (AMENAM BLEND),Condensate,5462.0
DECEMBER,ODUDU (AMENAM BLEND),Condensate,5498.0
JANUARY,TULJA - OKWUIBOME,Crude Oil,1762863.0
FEBRUARY,TULJA - OKWUIBOME,Crude Oil,1732677.0
MARCH,TULJA - OKWUIBOME,Crude Oil,1859018.0
APRIL,TULJA - OKWUIBOME,Crude Oil,1837364.0
MAY,TULJA - OKWUIBOME,Crude Oil,1972551.0
JUNE,TULJA - OKWUIBOME,Crude Oil,1928150.0
JULY,TULJA - OKWUIBOME,Crude Oil,1992021.0
AUGUST,TULJA - OKWUIBOME,Crude Oil,2008089.0
SEPTEMBER,TULJA - OKWUIBOME,Crude Oil,2029788.0
OCTOBER,TULJA - OKWUIBOME,Crude Oil,2304846.0
NOVEMBER,TULJA - OKWUIBOME,Crude Oil,2315239.0
DECEMBER,TULJA - OKWUIBOME,Crude Oil,2361799.0
JANUARY,TULJA - OKWUIBOME,Condensate,0.0
FEBRUARY,TULJA - OKWUIBOME,Condensate,0.0
MARCH,TULJA - OKWUIBOME,Condensate,0.0
APRIL,TULJA - OKWUIBOME,Condensate,0.0
MAY,TULJA - OKWUIBOME,Condensate,0.0
JUNE,TULJA - OKWUIBOME,Condensate,0.0
JULY,TULJA - OKWUIBOME,Condensate,0.0
AUGUST,TULJA - OKWUIBOME,Condensate,0.0
SEPTEMBER,TULJA - OKWUIBOME,Condensate,0.0
OCTOBER,TULJA - OKWUIBOME,Condensate,0.0
NOVEMBER,TULJA - OKWUIBOME,Condensate,0.0
DECEMBER,TULJA - OKWUIBOME,Condensate,0.0
JANUARY,AJE,Crude Oil,0.0
