month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,1435274.1
FEBRUARY,BONNY,Crude Oil,2118964.48
MARCH,BONNY,Crude Oil,2965174.62
APRIL,BONNY,Crude Oil,2309705.02
MAY,BONNY,Crude Oil,2866107.22
JUNE,BONNY,Crude Oil,2851070.03
JULY,BONNY,Crude Oil,2022340.43
AUGUST,BONNY,Crude Oil,3468148.98
SEPTEMBER,BONNY,Crude Oil,3725022.0
OCTOBER,BONNY,Crude Oil,4111617.0
NOVEMBER,BONNY,Crude Oil,3142743.91
DECEMBER,BONNY,Crude Oil,5861062.96
JANUARY,BONNY,Condensate,677622.0
FEBRUARY,BONNY,Condensate,627457.0
MARCH,BONNY,Condensate,932172.0
APRIL,BONNY,Condensate,777702.0
MAY,BONNY,Condensate,747700.0
JUNE,BONNY,Condensate,475525.0
JULY,BONNY,Condensate,328691.0
AUGUST,BONNY,Condensate,494100.0
SEPTEMBER,BONNY,Condensate,488661.0
OCTOBER,BONNY,Condensate,451954.0
NOVEMBER,BONNY,Condensate,430796.0
DECEMBER,BONNY,Condensate,490918.2
JANUARY,BRASS,Crude Oil,571401.0
FEBRUARY,BRASS,Crude Oil,930787.0
MARCH,BRASS,Crude Oil,692409.0
APRIL,BRASS,Crude Oil,713206.0
MAY,BRASS,Crude Oil,987481.0
JUNE,BRASS,Crude Oil,840494.0
JULY,BRASS,Crude Oil,759456.0
AUGUST,BRASS,Crude Oil,656024.0
SEPTEMBER,BRASS,Crude Oil,585756.0
OCTOBER,BRASS,Crude Oil,487054.0
NOVEMBER,BRASS,Crude Oil,644528.0
DECEMBER,BRASS,Crude Oil,636567.0
JANUARY,BRASS,Condensate,194198.0
FEBRUARY,BRASS,Condensate,113236.0
MARCH,BRASS,Condensate,278061.0
APRIL,BRASS,Condensate,195165.0
MAY,BRASS,Condensate,208247.0
JUNE,BRASS,Condensate,279563.0
JULY,BRASS,Condensate,227658.0
AUGUST,BRASS,Condensate,212630.0
SEPTEMBER,BRASS,Condensate,79206.0
OCTOBER,BRASS,Condensate,101586.0
NOVEMBER,BRASS,Condensate,133557.0
DECEMBER,BRASS,Condensate,138216.0
JANUARY,QUA IBOE,Crude Oil,4738775.0
FEBRUARY,QUA IBOE,Crude Oil,4104055.0
MARCH,QUA IBOE,Crude Oil,4224184.0
APRIL,QUA IBOE,Crude Oil,1941669.0
MAY,QUA IBOE,Crude Oil,4022221.0
JUNE,QUA IBOE,Crude Oil,3714425.58
JULY,QUA IBOE,Crude Oil,4052041.0
AUGUST,QUA IBOE,Crude Oil,4603130.0
SEPTEMBER,QUA IBOE,Crude Oil,4335045.0
OCTOBER,QUA IBOE,Crude Oil,4590300.0
NOVEMBER,QUA IBOE,Crude Oil,4606068.0
DECEMBER,QUA IBOE,Crude Oil,4023223.0
JANUARY,QUA IBOE,Condensate,34027.0
FEBRUARY,QUA IBOE,Condensate,72345.0
MARCH,QUA IBOE,Condensate,76478.0
APRIL,QUA IBOE,Condensate,28207.0
MAY,QUA IBOE,Condensate,78922.0
JUNE,QUA IBOE,Condensate,74305.42
JULY,QUA IBOE,Condensate,71533.0
AUGUST,QUA IBOE,Condensate,27660.0
SEPTEMBER,QUA IBOE,Condensate,38922.0
OCTOBER,QUA IBOE,Condensate,29853.0
NOVEMBER,QUA IBOE,Condensate,32435.0
DECEMBER,QUA IBOE,Condensate,28585.0
JANUARY,FORCADOS,Crude Oil,7070043.59
FEBRUARY,FORCADOS,Crude Oil,6263014.36
MARCH,FORCADOS,Crude Oil,5449577.26
APRIL,FORCADOS,Crude Oil,4722560.73
MAY,FORCADOS,Crude Oil,5956127.37
JUNE,FORCADOS,Crude Oil,7000549.67
JULY,FORCADOS,Crude Oil,2756143.0
AUGUST,FORCADOS,Crude Oil,3758805.0
SEPTEMBER,FORCADOS,Crude Oil,7414498.0
OCTOBER,FORCADOS,Crude Oil,7121468.0
NOVEMBER,FORCADOS,Crude Oil,5921333.0
DECEMBER,FORCADOS,Crude Oil,7446093.01
JANUARY,FORCADOS,Condensate,776949.68
FEBRUARY,FORCADOS,Condensate,1062282.71
MARCH,FORCADOS,Condensate,1153219.14
APRIL,FORCADOS,Condensate,937521.17
MAY,FORCADOS,Condensate,827261.63
JUNE,FORCADOS,Condensate,968770.83
JULY,FORCADOS,Condensate,530592.0
AUGUST,FORCADOS,Condensate,693887.0
SEPTEMBER,FORCADOS,Condensate,824523.0
OCTOBER,FORCADOS,Condensate,812516.0
NOVEMBER,FORCADOS,Condensate,798963.0
DECEMBER,FORCADOS,Condensate,921256.99
JANUARY,ESCRAVOS (Oil Terminal),Crude Oil,4715775.1
FEBRUARY,ESCRAVOS (Oil Terminal),Crude Oil,4032031.8
MARCH,ESCRAVOS (Oil Terminal),Crude Oil,4377032.1
APRIL,ESCRAVOS (Oil Terminal),Crude Oil,3810378.0
MAY,ESCRAVOS (Oil Terminal),Crude Oil,4698951.8
JUNE,ESCRAVOS (Oil Terminal),Crude Oil,4393234.0
JULY,ESCRAVOS (Oil Terminal),Crude Oil,4777180.1
AUGUST,ESCRAVOS (Oil Terminal),Crude Oil,4616147.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4361108.0
OCTOBER,ESCRAVOS (Oil Terminal),Crude Oil,4137380.0
NOVEMBER,ESCRAVOS (Oil Terminal),Crude Oil,3810558.0
DECEMBER,ESCRAVOS (Oil Terminal),Crude Oil,4035386.0
JANUARY,ESCRAVOS (Oil Terminal),Condensate,101905.9
FEBRUARY,ESCRAVOS (Oil Terminal),Condensate,72720.2
MARCH,ESCRAVOS (Oil Terminal),Condensate,107164.9
APRIL,ESCRAVOS (Oil Terminal),Condensate,83964.0
MAY,ESCRAVOS (Oil Terminal),Condensate,75192.2
JUNE,ESCRAVOS (Oil Terminal),Condensate,82064.0
JULY,ESCRAVOS (Oil Terminal),Condensate,88950.9
AUGUST,ESCRAVOS (Oil Terminal),Condensate,91695.0
SEPTEMBER,ESCRAVOS (Oil Terminal),Condensate,81455.0
OCTOBER,ESCRAVOS (Oil Terminal),Condensate,97204.0
NOVEMBER,ESCRAVOS (Oil Terminal),Condensate,79515.0
DECEMBER,ESCRAVOS (Oil Terminal),Condensate,56307.0
JANUARY,ODUDU (AMENAM BLEND),Crude Oil,3097326.0
FEBRUARY,ODUDU (AMENAM BLEND),Crude Oil,2965401.0
MARCH,ODUDU (AMENAM BLEND),Crude Oil,3330899.0
APRIL,ODUDU (AMENAM BLEND),Crude Oil,3175350.0
MAY,ODUDU (AMENAM BLEND),Crude Oil,3281107.0
JUNE,ODUDU (AMENAM BLEND),Crude Oil,3101607.0
JULY,ODUDU (AMENAM BLEND),Crude Oil,2926124.0
AUGUST,ODUDU (AMENAM BLEND),Crude Oil,2917734.0
SEPTEMBER,ODUDU (AMENAM BLEND),Crude Oil,2680344.0
OCTOBER,ODUDU (AMENAM BLEND),Crude Oil,2974626.0
NOVEMBER,ODUDU (AMENAM BLEND),Crude Oil,2948581.0
DECEMBER,ODUDU (AMENAM BLEND),Crude Oil,2639665.0
JANUARY,ODUDU (AMENAM BLEND),Condensate,10555.0
FEBRUARY,ODUDU (AMENAM BLEND),Condensate,8957.0
MARCH,ODUDU (AMENAM BLEND),Condensate,8808.0
APRIL,ODUDU (AMENAM BLEND),Condensate,8462.0
MAY,ODUDU (AMENAM BLEND),Condensate,8742.0
JUNE,ODUDU (AMENAM BLEND),Condensate,8287.0
JULY,ODUDU (AMENAM BLEND),Condensate,8287.0
AUGUST,ODUDU (AMENAM BLEND),Condensate,8515.0
SEPTEMBER,ODUDU (AMENAM BLEND),Condensate,9178.0
OCTOBER,ODUDU (AMENAM BLEND),Condensate,9178.0
NOVEMBER,ODUDU (AMENAM BLEND),Condensate,8433.0
DECEMBER,ODUDU (AMENAM BLEND),Condensate,9924.0
JANUARY,TULJA - OKWUIBOME,Crude Oil,1400744.0
FEBRUARY,TULJA - OKWUIBOME,Crude Oil,1336497.0
MARCH,TULJA - OKWUIBOME,Crude Oil,1514169.0
APRIL,TULJA - OKWUIBOME,Crude Oil,1375241.0
MAY,TULJA - OKWUIBOME,Crude Oil,1435570.0
JUNE,TULJA - OKWUIBOME,Crude Oil,1314652.0
JULY,TULJA - OKWUIBOME,Crude Oil,1386257.0
AUGUST,TULJA - OKWUIBOME,Crude Oil,1437508.0
SEPTEMBER,TULJA - OKWUIBOME,Crude Oil,1387080.0
OCTOBER,TULJA - OKWUIBOME,Crude Oil,1560604.0
NOVEMBER,TULJA - OKWUIBOME,Crude Oil,1519502.0
DECEMBER,TULJA - OKWUIBOME,Crude Oil,1702541.0
JANUARY,TULJA - OKWUIBOME,Condensate,0.0
FEBRUARY,TULJA - OKWUIBOME,Condensate,0.0
